linear_model,linear_model-log,linear_model-log-minmax,linear_model-log-robscal,linear_model-log-std,linear_model-nooutliers,linear_model-log-nooutliers,linear_model-log-minmax-nooutliers,linear_model-log-robscal-nooutliers,linear_model-log-std-nooutliers
0.08028864739013011,0.08028864739013011,0.08028864739013011,0.08028864739013011,0.08028864739013011,0.08028864739013011,0.08028864739013011,0.08028864739013011,0.08028864739013011,0.08028864739013011
0.16449325082864089,0.16449325082864089,0.16449325082864089,0.16449325082864089,0.16449325082864089,0.16449325082864089,0.16449325082864089,0.16449325082864089,0.16449325082864089,0.16449325082864089
0.38331984421483845,0.38331984421483845,0.38331984421483845,0.38331984421483845,0.38331984421483845,0.38331984421483845,0.38331984421483845,0.38331984421483845,0.38331984421483845,0.38331984421483845
0.18415658813018193,0.18415658813018193,0.18415658813018193,0.18415658813018193,0.18415658813018193,0.18415658813018193,0.18415658813018193,0.18415658813018193,0.18415658813018193,0.18415658813018193
-0.12470669400890154,-0.12470669400890154,-0.12470669400890154,-0.12470669400890154,-0.12470669400890154,-0.12470669400890154,-0.12470669400890154,-0.12470669400890154,-0.12470669400890154,-0.12470669400890154
0.19483998623172,0.19483998623172,0.19483998623172,0.19483998623172,0.19483998623172,0.19483998623172,0.19483998623172,0.19483998623172,0.19483998623172,0.19483998623172
-0.40791388477357604,-0.40791388477357604,-0.40791388477357604,-0.40791388477357604,-0.40791388477357604,-0.40791388477357604,-0.40791388477357604,-0.40791388477357604,-0.40791388477357604,-0.40791388477357604
-0.3806859149435801,-0.3806859149435801,-0.3806859149435801,-0.3806859149435801,-0.3806859149435801,-0.3806859149435801,-0.3806859149435801,-0.3806859149435801,-0.3806859149435801,-0.3806859149435801
-0.2978105907542454,-0.2978105907542454,-0.2978105907542454,-0.2978105907542454,-0.2978105907542454,-0.2978105907542454,-0.2978105907542454,-0.2978105907542454,-0.2978105907542454,-0.2978105907542454
-0.289901343968002,-0.289901343968002,-0.289901343968002,-0.289901343968002,-0.289901343968002,-0.289901343968002,-0.289901343968002,-0.289901343968002,-0.289901343968002,-0.289901343968002
0.02644175495496338,0.02644175495496338,0.02644175495496338,0.02644175495496338,0.02644175495496338,0.02644175495496338,0.02644175495496338,0.02644175495496338,0.02644175495496338,0.02644175495496338
