bathrooms,sqft_living,sqft_lot,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,log-bathrooms,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6,floors_1.0,floors_1.5,floors_2.0,floors_2.5,floors_3.0,waterfront_1.0,view_1.0,view_2.0,condition_2,condition_3,condition_4,condition_5,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11
-1.0,-0.6470588235294118,-0.3472222222222222,0.0,-0.4444444444444444,0.0,-0.28430682617874353,-0.10769230769231554,-0.5685407454200885,-1.3569154488567239,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
-1.0,-1.0490196078431373,0.5412581699346405,0.0,-0.9333333333333333,0.0,0.7792634295097138,0.015384615384689382,1.1749842072015162,-1.3569154488567239,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
1.0,0.11764705882352941,-0.47998366013071897,1.8216432865731462,-0.2222222222222222,0.0,-0.23926812104152245,-0.8051282051281423,-0.5432722678458622,0.7937446542303996,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
0.0,-0.1568627450980392,0.14910130718954248,0.0,0.26666666666666666,0.0,0.21111893033072177,0.9794871794872265,0.012634238787113077,0.0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
0.25,-0.12254901960784313,-0.10845588235294118,0.0,0.4444444444444444,0.0,-1.2296504808819915,-0.46666666666672496,0.5660138976626659,0.2305738596040748,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
-0.5,-0.7647058823529411,0.48223039215686275,0.0,-0.26666666666666666,0.0,-0.7614356087262367,-0.4051282051281861,-0.17687934301958308,-0.5631707946263246,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
-1.0,-0.058823529411764705,0.024509803921568627,1.4609218436873748,-0.3333333333333333,0.0,-0.2791461412150984,-0.5179487179487314,-0.012634238787113077,-1.3569154488567239,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
0.5,0.049019607843137254,-0.1613562091503268,0.0,0.6222222222222222,0.0,-0.9542575650949864,1.0512820512820793,0.7580543272267846,0.4368292053736754,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
-1.0,-0.6666666666666666,-0.2757352941176471,0.5991983967935872,-0.7333333333333333,0.0,0.5545390570020701,-0.2871794871794838,-0.5811749842072015,-1.3569154488567239,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
-1.0,-0.4019607843137255,2.5635212418300655,0.0,-1.0666666666666667,0.0,0.8632418484634875,0.035897435897462804,-0.012634238787113077,-1.3569154488567239,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
-0.25,-0.46078431372549017,0.4758986928104575,0.0,0.044444444444444446,0.0,0.19188365001169297,0.9794871794872265,-0.5306380290587492,-0.2614030824062447,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
0.0,-0.029411764705882353,-0.5106209150326797,0.0,-1.6666666666666667,0.0,0.4607084212995345,-0.8102564102563722,-0.5432722678458622,0.0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.049019607843137254,1.366421568627451,0.0,0.4222222222222222,0.0,0.7314098053013893,1.405128205128259,0.12634238787113075,0.0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
-1.0,-0.23529411764705882,-0.6229575163398693,0.0,-1.3111111111111111,0.0,0.43631245601686053,-0.5487179487178916,-0.22741629816803538,-1.3569154488567239,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
-1.0,-0.6274509803921569,0.5106209150326797,0.0,-1.2,0.0,-1.233403706310085,0.13333333333339165,-0.9222994314592545,-1.3569154488567239,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
-1.0,-0.5784313725490197,0.4950980392156863,0.0,-0.13333333333333333,0.0,-1.114238798967852,-0.35897435897433655,-0.6443461781427668,-1.3569154488567239,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
-0.25,-0.21568627450980393,-0.4840686274509804,1.5210420841683367,-0.6222222222222222,0.0,0.6131832043161798,-0.5384615384615777,-0.49273531269741,-0.2614030824062447,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
0.5,0.4215686274509804,-0.21446078431372548,0.0,0.4444444444444444,0.0,-1.1503635937133345,0.34358974358979294,0.5685407454200885,0.4368292053736754,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
